"","Dec_time","Condition","date","Dec_ZT_time","mean_of_sleep_counts","sem"
"4254",1373,"wt",2024-02-26,1013,0.586206896551724,0.0930760769837004
"4255",1374,"wt",2024-02-26,1014,0.517241379310345,0.0944349237077873
"4256",1375,"wt",2024-02-26,1015,0.551724137931034,0.0939841577750685
"4257",1376,"wt",2024-02-26,1016,0.517241379310345,0.0944349237077873
"4258",1377,"wt",2024-02-26,1017,0.586206896551724,0.0930760769837004
"4259",1378,"wt",2024-02-26,1018,0.620689655172414,0.0916970959063364
"4260",1379,"wt",2024-02-26,1019,0.655172413793103,0.0898255296985737
"4261",1380,"wt",2024-02-26,1020,0.655172413793103,0.0898255296985737
"4262",1381,"wt",2024-02-26,1021,0.620689655172414,0.0916970959063364
"4263",1382,"wt",2024-02-26,1022,0.586206896551724,0.0930760769837004
"4264",1383,"wt",2024-02-26,1023,0.586206896551724,0.0930760769837004
"4265",1384,"wt",2024-02-26,1024,0.586206896551724,0.0930760769837004
"4266",1385,"wt",2024-02-26,1025,0.551724137931034,0.0939841577750685
"4267",1386,"wt",2024-02-26,1026,0.551724137931034,0.0939841577750685
"4268",1387,"wt",2024-02-26,1027,0.482758620689655,0.0944349237077873
"4269",1388,"wt",2024-02-26,1028,0.482758620689655,0.0944349237077873
"4270",1389,"wt",2024-02-26,1029,0.448275862068966,0.0939841577750685
"4271",1390,"wt",2024-02-26,1030,0.413793103448276,0.0930760769837004
"4272",1391,"wt",2024-02-26,1031,0.448275862068966,0.0939841577750685
"4273",1392,"wt",2024-02-26,1032,0.413793103448276,0.0930760769837004
"4274",1393,"wt",2024-02-26,1033,0.413793103448276,0.0930760769837004
"4275",1394,"wt",2024-02-26,1034,0.379310344827586,0.0916970959063364
"4276",1395,"wt",2024-02-26,1035,0.448275862068966,0.0939841577750685
"4277",1396,"wt",2024-02-26,1036,0.413793103448276,0.0930760769837004
"4278",1397,"wt",2024-02-26,1037,0.448275862068966,0.0939841577750685
"4279",1398,"wt",2024-02-26,1038,0.482758620689655,0.0944349237077873
